archivo,codigo_instrumento,fila,celda,campo,valor_original,valor_corregido,tipo_cambio,regla_id,descripcion_regla,confianza,impacto
AT_instrumentos_original_v2.csv,Calibración/Verificación,3816,E3816,Nuevo valor,"0.00°C (Tol ±1.5°C), 25.00°C (Tol ±1.5°C), 50.00°C (Tol ±1.5°C), 75.00°C (Tol ±1.5°C), 100.00°C (Tol ±1.5°C), 250.0°C (Tol ±3.5°C), 500.00°C(Tol ±3.5°C) ","0.00°C (Tol ±1.5°C), 25.00°C (Tol ±1.5°C), 50.00°C (Tol ±1.5°C), 75.00°C (Tol ±1.5°C), 100.00°C (Tol ±1.5°C), 250.0°C (Tol ±3.5°C), 500.00°C(Tol ±3.5°C)",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3817,E3817,Nuevo valor,"0.0°C, 25.0°C, 50.0°C, 75.0°C, 100.0°C Tol ± 1.5°C
 250°C, 500°C Tol ± 3.5°C.","0.0°C, 25.0°C, 50.0°C, 75.0°C, 100.0°C Tol ± 1.5°C 250°C, 500°C Tol ± 3.5°C.",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3885,D3885,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3885,E3885,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3886,D3886,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3886,E3886,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3887,D3887,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3887,E3887,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3888,D3888,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3888,E3888,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3889,D3889,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3889,E3889,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3890,D3890,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3890,E3890,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3891,D3891,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3891,E3891,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3892,D3892,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3892,E3892,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3893,D3893,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3893,E3893,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3894,D3894,Valor anterior,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.005 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3894,E3894,Nuevo valor,"Negativo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O
Positivo
0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O","Negativo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O Positivo 0.00, 0.05, 0.10, 0.15, 0.20, 0.25 InH2O ±0.01 InH2O",format,FMT003,Limpieza de espacios en blanco,1.0,low
AT_instrumentos_original_v2.csv,Calibración/Verificación,3898,D3898,Valor anterior,"DC Voltage 0.00 V Tol ± 0.50V, 10.0 V Tol.  ±0.6V, 100.0 V Tol ±1.5V, 600.0 V Tol ±6.5V
AC Voltage @ 60 Hz 0.00 V Tol ± 0.50, 10.0 V Tol ± 0.7V, 100.0 V Tol ±2.0V, 600.0 V Tol ±9.5V / 
Resistance 0.0 Ω Tol ± 0.5Ω, 100.0 Ω Tol ±1.5Ω, 400.0 Ω Tol ±4.5Ω, 1000 Ω Tol ±15Ω, 4000 Ω Tol ±45Ω / 
DC current 0.00A ± 0.05A, 10.00 A Tol ±0.25A, 40.00 A Tol ±0.85A, 100.0 A Tol ±2.5A, 400.0 A Tol ±8.5A /
AC current @60 Hz 10.00A Tol±0.25A, 40.00A Tol±0.85A, 100.0A Tol±2.5A, 400.0A Tol ±8.5A.  
Temperatua de 15°C a 70°C (tolerancia asignada por el proveedor), Capacitancia de 50 a 500 microfararios (tolerancia asignada por el proveedor).","DC Voltage 0.00 V Tol ± 0.50V, 10.0 V Tol. ±0.6V, 100.0 V Tol ±1.5V, 600.0 V Tol ±6.5V AC Voltage @ 60 Hz 0.00 V Tol ± 0.50, 10.0 V Tol ± 0.7V, 100.0 V Tol ±2.0V, 600.0 V Tol ±9.5V / Resistance 0.0 Ω Tol ± 0.5Ω, 100.0 Ω Tol ±1.5Ω, 400.0 Ω Tol ±4.5Ω, 1000 Ω Tol ±15Ω, 4000 Ω Tol ±45Ω / DC current 0.00A ± 0.05A, 10.00 A Tol ±0.25A, 40.00 A Tol ±0.85A, 100.0 A Tol ±2.5A, 400.0 A Tol ±8.5A / AC current @60 Hz 10.00A Tol±0.25A, 40.00A Tol±0.85A, 100.0A Tol±2.5A, 400.0A Tol ±8.5A. Temperatua de 15°C a 70°C (tolerancia asignada por el proveedor), Capacitancia de 50 a 500 microfararios (tolerancia asignada por el proveedor).",format,FMT003,Limpieza de espacios en blanco,1.0,low
