Instrumento,Marca,Modelo,Serie,Código,Departamento responsable,Ubicación,Requerimiento,Impacto de la falla,Consideraciones de falla,Clase de riesgo,Capacidad de detección ,Frecuencia,Última calibración,Fecha programada,Observaciones,Tipo de calibración,Especificaciones
Manómetro de presión,ND,ND,ND,MAP-PR-04,NA,NA,NA,NA,NA,NA,NA,NA,04-mar-21,NA,Baja: 04-Mar-21,NA,NA
Manómetro de presión,ND,ND,ND,MAP-PR-05,NA,NA,NA,NA,NA,NA,NA,NA,04-mar-21,NA,Baja: 04-Mar-21,NA,NA
Manómetro de presión,ND,ND,ND,MAP-PR-06,NA,NA,NA,NA,NA,NA,NA,NA,08-Mar-19,NA,Baja: 06-Dic-19,NA,NA
Manómetro de presión,ND,ND,ND,MAP-PR-07,NA,NA,NA,NA,NA,NA,NA,NA,05-mar-20,NA,Baja: 09-Mar-20,NA,NA
Manómetro de presión,ND,4CFL6A,ND,MAP-PR-08,Validación,"Móvil, Almacén de Validación",Calibración,2,2,Medio,2,12,02-dic-24,Dic-25,,En planta,"0.00, 50.00, 100.00, 150.00 PSI Tol ± 5.00 PSI"
Manómetro de presión,ND,4CFL6A,ND,MAP-PR-09,NA,NA,NA,NA,NA,NA,NA,NA,10-dic-21,NA,,NA,NA
Manómetro de presión,NA,NA,NA,MAP-PR-10,Fabricación ,"Acondicionamiento Primario Llenado de Frascos, en TAP-AC-01",Calibración,2,2,Medio,2,12,02-may-25,May-26,,En planta + Mantenimiento,"20.00 PSI, 40.00 PSI, 60.00 PSI, 80.00 PSI, 100.00 PSI, 120.00 PSI, 140.00 PSI, 160.00 PSI Tol ±5.00PSI"
Manómetro de presión,NA,NA,NA,MAP-PR-11,Fabricación ,"Acondicionamiento Primario Llenado de Frascos, en CON-AC-02",Calibración,2,2,Medio,2,12,02-may-25,May-26,,En planta + Mantenimiento,"20.00 PSI, 40.00 PSI, 60.00 PSI, 80.00 PSI, 100.00 PSI, 120.00 PSI, 140.00 PSI, 160.00 PSI Tol ±5.00PSI"
Manómetro de presión,NA,NA,3,MAP-PR-12,NA,NA,NA,NA,NA,NA,NA,NA,06-may-21,NA,Baja 14-Oct-21,NA,NA
Manómetro de presión,NA,MPG-28,NA,MAP-PR-13,NA,NA,NA,NA,NA,NA,NA,NA,14-dic-23,NA,Rechazado en calibración,NA,NA
Manómetro de presión,MASS,63-GFB-B-L-13-C-RANGE-KG/CM2-GR-UF,20BB7313,MAP-FR-14,Fabricación ,"Recubrimiento, en REC-FR-02",Calibración,3,2,Alto,1,12,01-abr-25,Abr-26,,En planta + Mantenimiento,"0.00 kg/cm2, 2.00 kg/cm2, 4.00 kg/cm2, 6.00 kg/cm2, 8.00 kg/cm2, 10.00 kg/cm2 Tol ±.0.20kg/cm2"
Manómetro de presión,MASS,63-GFB-B-L-13-C-RANGE-KG/CM2-GR-UF,20BB7320,MAP-FR-15,Fabricación ,"Recubrimiento, en REC-FR-02",Calibración,3,2,Alto,1,12,01-abr-25,Abr-26,,En planta + Mantenimiento,"0.00 kg/cm2, 2.00 kg/cm2, 4.00 kg/cm2, 6.00 kg/cm2, 8.00 kg/cm2, 10.00 kg/cm2 Tol ±.0.20kg/cm2"
Manómetro de presión,ND,ND,ND,MAP-FR-16,Fabricación,"Acondicionamiento Primario Blíster, en BLI-FR-02.",Calibración,3,2,Alto,1,12,02-dic-24,Dic-25,,En planta + Mantenimiento,"0.00 PSI, 50.00 PSI, 100.00 PSI, 150.00 PSI Tol ±5.00"
